gc,void_index,ra,dec,gal_l,gal_b,z,L,theta_v,inner_valid,ring_valid,masked_frac_inner,masked_frac_ring,max_masked_frac,discarded
NGC,854,239.45918539922513,7.996915090836794,18.404758157744368,41.98937869035284,0.07657087548887652,22.205954791406405,0.06637773168963675,0.6574531808176668,0.4487348516317795,0.3425468191823332,0.5512651483682205,0.5512651483682205,True
NGC,855,149.08948383569242,-3.971033132813472,242.41160897586835,37.55767315379886,0.21754812477157578,19.465580372928375,0.021228426167194805,0.41362916006339145,0.3052464228934817,0.5863708399366085,0.6947535771065183,0.6947535771065183,True
NGC,856,141.20375250149806,-8.485851620934886,240.85511911725067,28.607289749946148,0.199446474416043,19.166600439825274,0.022692081253796396,0.9799444615859303,0.9356481481481481,0.020055538414069707,0.06435185185185188,0.06435185185185188,False
NGC,857,198.7993789391146,-2.502702350737727,314.7999273191471,59.820434407947005,0.2286155955632936,20.957869616803222,0.02181256662662797,0.24031396125584503,0.3206285523236376,0.759686038744155,0.6793714476763624,0.759686038744155,True
NGC,858,221.77487806082996,37.74493079322899,63.87192724986453,63.52746847439089,0.19501339678821317,21.44864288494595,0.025941244107503085,1.0,1.0,0.0,0.0,0.0,False
NGC,859,162.37547822598592,-1.1608704462066997,251.94464405361484,49.25046703807606,0.1810410058972889,22.792629760014933,0.02958704927899083,0.5407662974396223,0.5650594751657132,0.45923370256037765,0.4349405248342868,0.45923370256037765,True
NGC,860,225.3415676633375,0.02499332754301139,357.34736042440113,48.67330974834516,0.22182340403497616,20.347248906505985,0.021786637395679577,0.9487866108786611,0.8187154117055173,0.05121338912133888,0.18128458829448268,0.18128458829448268,False
NGC,861,233.90706135194364,34.26950026762742,54.72233068816509,54.236321520009874,0.18647667924227232,21.105803496319506,0.026636175038324682,1.0,1.0,0.0,0.0,0.0,False
NGC,862,169.0042733849156,-2.840241098910157,261.68336296493504,52.2193834321617,0.14726109496623624,20.85425521497619,0.03299333936671422,0.31663868000292034,0.44442011532004966,0.6833613199970796,0.5555798846799503,0.6833613199970796,True
NGC,863,137.11185492045902,-4.593802451849916,234.5855156341101,27.567337305429266,0.2181257098883571,20.743103390283533,0.022565157660795206,0.405,0.2542531606055876,0.595,0.7457468393944124,0.7457468393944124,True
NGC,864,256.1784348084774,14.070127124472982,34.10579597268473,29.900160426854555,0.22834942131091004,20.41106638277564,0.021266739765492076,0.3675333801827126,0.18375616631430586,0.6324666198172875,0.8162438336856941,0.8162438336856941,True
